LINK,BRAND,PRODUCT,FAVORITES,RATING,RATING_SCORE,PRICE_TRY,PRICE_DOLLAR,PRICE_EURO
https://www.trendyol.com/reeder/p13-blue-max-l-2022-64gb-cep-telefonu-reeder-tr-garantili-siyah-p-159037719,Reeder,P13 Blue Max L 2022 64GB Cep Telefonu (Reeder TR Garantili) Siyah,0.0,791.0,4.0,2450,72.48520710059172,65.33333333333333
https://www.trendyol.com/apple/iphone-11-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-65149494,Apple,iPhone 11 64 GB Beyaz Cep Telefonu Aksesuarsız Kutu (Apple Türkiye Garantili),229000.0,8870.0,4.8,23999,710.0295857988166,639.9733333333334
https://www.trendyol.com/apple/iphone-13-128-gb-yildiz-isigi-cep-telefonu-apple-turkiye-garantili-p-150059024,Apple,iPhone 13 128 GB Yıldız Işığı Cep Telefonu (Apple Türkiye Garantili),0.0,4353.0,4.7,38149,1128.6686390532545,1017.3066666666666
https://www.trendyol.com/apple/iphone-15-pro-max-256-gb-mavi-titanyum-p-762254884,Apple,iPhone 15 Pro Max 256 GB Mavi Titanyum,13300.0,74.0,4.7,81999,2426.0059171597636,2186.64
https://www.trendyol.com/samsung/galaxy-a35-256-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-816445621,Samsung,Galaxy A35 256 GB Siyah Cep Telefonu (Samsung Türkiye Garantili),10200.0,156.0,4.6,14134,418.1656804733728,376.9066666666667
https://www.trendyol.com/apple/iphone-14-128-gb-gece-yarisi-p-355707175,Apple,iPhone 14 128 GB Gece Yarısı,28300.0,518.0,4.7,45499,1346.1242603550297,1213.3066666666666
https://www.trendyol.com/samsung/galaxy-a35-256-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-816445643,Samsung,Galaxy A35 256 GB Mavi Cep Telefonu (Samsung Türkiye Garantili),12200.0,105.0,4.6,14769,436.95266272189355,393.84
https://www.trendyol.com/apple/iphone-15-pro-max-256-gb-siyah-titanyum-p-762254852,Apple,iPhone 15 Pro Max 256 GB Siyah Titanyum,11600.0,77.0,4.6,82999,2455.5917159763317,2213.306666666667
https://www.trendyol.com/samsung/galaxy-a55-256-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-816445689,Samsung,Galaxy A55 256 GB Mavi Cep Telefonu (Samsung Türkiye Garantili),0.0,97.0,4.7,17849,528.0769230769231,475.97333333333336
https://www.trendyol.com/xiaomi/redmi-note-12-128-gb-8-gb-ram-gri-cep-telefonu-xiaomi-turkiye-garantili-p-761831854,Xiaomi,Redmi Note 12 128 GB 8 GB RAM Gri Cep Telefonu (Xiaomi Türkiye Garantili),22600.0,771.0,4.3,8699,257.3668639053255,231.97333333333333
https://www.trendyol.com/xiaomi/redmi-note-13-8-gb-ram-256-gb-siyah-xiaomi-turkiye-garantili-p-808570790,Xiaomi,Redmi Note 13 8 GB RAM 256 GB Siyah (Xiaomi Türkiye Garantili),0.0,391.0,4.6,10469,309.7337278106509,279.17333333333335
https://www.trendyol.com/xiaomi/redmi-note-12-128-gb-8-gb-ram-buz-mavisi-cep-telefonu-xiaomi-turkiye-garantili-p-761535602,Xiaomi,Redmi Note 12 128 GB 8 GB RAM Buz Mavisi Cep Telefonu (Xiaomi Türkiye Garantili),12300.0,454.0,4.4,8699,257.3668639053255,231.97333333333333
https://www.trendyol.com/xiaomi/redmi-note-13-pro-8-gb-ram-256-gb-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-797235142,Xiaomi,Redmi Note 13 Pro 8 GB RAM 256 GB Siyah Cep Telefonu (Xiaomi Türkiye Garantili),14900.0,267.0,4.6,14199,420.08875739644975,378.64
https://www.trendyol.com/apple/iphone-15-pro-128-gb-mavi-cep-telefonu-apple-turkiye-garantili-p-762254863,Apple,iPhone 15 Pro 128 GB Mavi Cep Telefonu (Apple Türkiye Garantili).,12800.0,52.0,4.5,68999,2041.3905325443789,1839.9733333333334
